البترون,ạlbtrwn
الريش حي الغربي,ạlrysẖ ḥy ạlgẖrby
الزرازير,ạlzrạzyr
الزويتيني,ạlzwytyny
السعيده,ạlsʿydh
السويسة,ạlswysẗ
الشربين,ạlsẖrbyn
الشواغير التحتا,ạlsẖwạgẖyr ạltḥtạ
الشواغير الفوقا,ạlsẖwạgẖyr ạlfwqạ
الصوانية,ạlṣwạnyẗ
العقيدية,ạlʿqydyẗ
العلاق,ạlʿlạq
الفاكهة حي الجامع,ạlfạkhẗ ḥy ạljạmʿ
الفاكهة حي مار جرجس,ạlfạkhẗ ḥy mạr jrjs
القاع,ạlqạʿ
القدام,ạlqdạm
القرينة,ạlqrynẗ
القصر,ạlqṣr
الكواخ,ạlkwạkẖ
المعاصر,ạlmʿạṣr
النبي رشاده,ạlnby rsẖạdh
النبي سباط,ạlnby sbạṭ
النبي شيت حي الجامع,ạlnby sẖyt ḥy ạljạmʿ
النبي شيت حي الجنوبي,ạlnby sẖyt ḥy ạljnwby
النبي شيت حي الشرقي,ạlnby sẖyt ḥy ạlsẖrqy
النبي شيت حي الشمالي,ạlnby sẖyt ḥy ạlsẖmạly
النبي شيت حي العريض,ạlnby sẖyt ḥy ạlʿryḍ
النبي شيت حي العقبة,ạlnby sẖyt ḥy ạlʿqbẗ
النبي شيت حي الغربي,ạlnby sẖyt ḥy ạlgẖrby
النبي شيت حي طبشار,ạlnby sẖyt ḥy ṭbsẖạr
النبي نعام,ạlnby nʿạm
النقرة,ạlnqrẗ
الهرمل حي الحارة,ạlhrml ḥy ạlḥạrẗ
الهرمل حي الوقف,ạlhrml ḥy ạlwqf
الهرمل حي بديتا,ạlhrml ḥy bdytạ
اليمونه,ạlymwnh
ايعات,ạyʿạt
بتدعي,btdʿy
برقه,brqh
بريتال اليونسية,brytạl ạlywnsyẗ
بريتال حي التين,brytạl ḥy ạltyn
بريتال شرقي,brytạl sẖrqy
بريتال شميس,brytạl sẖmys
بريتال شميس غربي,brytạl sẖmys gẖrby
بريتال عين البنيه,brytạl ʿyn ạlbnyh
بريتال عين الجوز,brytạl ʿyn ạljwz
بريتال غربي,brytạl gẖrby
بريصا,bryṣạ
بيت ابو صليبي,byt ạbw ṣlyby
بيت مشيك,byt msẖyk
تمنين الفوقا,tmnyn ạlfwqạ
جبعا,jbʿạ
جبوله,jbwlh
جوار الحشيش,jwạr ạlḥsẖysẖ
حور تعلا,ḥwr tʿlạ
حور تعلا حي الشعب,ḥwr tʿlạ ḥy ạlsẖʿb
حور تعلا حي الوادي,ḥwr tʿlạ ḥy ạlwạdy
حور تعلا حي حقل العرجة,ḥwr tʿlạ ḥy ḥql ạlʿrjẗ
حوش الذهب,ḥwsẖ ạldẖhb
حوش الرافقه,ḥwsẖ ạlrạfqh
حوش السيد علي,ḥwsẖ ạlsyd ʿly
حوش النبي,ḥwsẖ ạlnby
حوش تل صفيه,ḥwsẖ tl ṣfyh
حوش سنيد,ḥwsẖ snyd
حي الزهراء,ḥy ạlzhrạʾ
حي الست,ḥy ạlst
حي الصلح,ḥy ạlṣlḥ
حي العباسية,ḥy ạlʿbạsyẗ
حي عز الدين,ḥy ʿz ạldyn
دار الواسعة,dạr ạlwạsʿẗ
دورس حي البير,dwrs ḥy ạlbyr
دورس حي السيدة,dwrs ḥy ạlsydẗ
دورس حي الشحاديه,dwrs ḥy ạlsẖḥạdyh
راس بعلبك,rạs bʿlbk
رماسا,rmạsạ
سرعين التحتا,srʿyn ạltḥtạ
سرعين الفوقا حي الجامع,srʿyn ạlfwqạ ḥy ạljạmʿ
سرعين الفوقا حي الحارة,srʿyn ạlfwqạ ḥy ạlḥạrẗ
سرعين الفوقا شرقي,srʿyn ạlfwqạ sẖrqy
سرعين الفوقا غربي,srʿyn ạlfwqạ gẖrby
سهلات الماء,shlạt ạlmạʾ
شعت حي الجامع,sẖʿt ḥy ạljạmʿ
شعت حي الضهر,sẖʿt ḥy ạlḍhr
شمسطار الجنوبي,sẖmsṭạr ạljnwby
شمسطار الشرقي,sẖmsṭạr ạlsẖrqy
شمسطار الشمالي,sẖmsṭạr ạlsẖmạly
شمسطار الغربي,sẖmsṭạr ạlgẖrby
صبوبا,ṣbwbạ
صفرا,ṣfrạ
طاريا الجنوبي,ṭạryạ ạljnwby
طاريا الشمالي,ṭạryạ ạlsẖmạly
عرسال جنوبي,ʿrsạl jnwby
عرسال شرقي,ʿrsạl sẖrqy
عرسال شمالي,ʿrsạl sẖmạly
عين السوداء,ʿyn ạlswdạʾ
غفره,gẖfrh
فلاوي,flạwy
فيسان,fysạn
قبة دورس,qbẗ dwrs
قلد السبع,qld ạlsbʿ
قلعة,qlʿẗ
قلعة غربي,qlʿẗ gẖrby
قنافذ,qnạfdẖ
كفردان الغربي,kfrdạn ạlgẖrby
كفردبش,kfrdbsẖ
مراح العين,mrạḥ ạlʿyn
مزرعة ابو صليبي,mzrʿẗ ạbw ṣlyby
مزرعة التوت,mzrʿẗ ạltwt
مزرعة السيد,mzrʿẗ ạlsyd
مزرعة الضليل,mzrʿẗ ạlḍlyl
مزرعة الفقيه,mzrʿẗ ạlfqyh
مزرعة آل سويدان,mzrʿẗ ậl swydạn
مزرعة بيت الطشم,mzrʿẗ byt ạlṭsẖm
مزرعة بيت مطر,mzrʿẗ byt mṭr
مزرعة سجد,mzrʿẗ sjd
مصنع الزهرة,mṣnʿ ạlzhrẗ
نبحا الحرفوش,nbḥạ ạlḥrfwsẖ
نبحا الدمدوم,nbḥạ ạldmdwm
نبحا المحفارة,nbḥạ ạlmḥfạrẗ
نبحا حي الجامع,nbḥạ ḥy ạljạmʿ
نبحا قليلة,nbḥạ qlylẗ
وادي التركمان,wạdy ạltrkmạn
وادي الرطل,wạdy ạlrṭl
وادي الزين,wạdy ạlzyn
وادي الصفا الشرقي,wạdy ạlṣfạ ạlsẖrqy
وادي العس,wạdy ạlʿs
وادي المشمشه,wạdy ạlmsẖmsẖh
وادي النيرة,wạdy ạlnyrẗ
وادي بنيت,wạdy bnyt
وادي فعرة,wạdy fʿrẗ
يونين جنوبي,ywnyn jnwby
يونين شرقي,ywnyn sẖrqy
يونين شمالي,ywnyn sẖmạly
يونين غربي,ywnyn gẖrby
ابل السقي,ạbl ạlsqy
ابو قمحه,ạbw qmḥh
الجديدة حي السراي,ạljdydẗ ḥy ạlsrạy
الجديدة حي العيون,ạljdydẗ ḥy ạlʿywn
الجديدة حي القلعة,ạljdydẗ ḥy ạlqlʿẗ
الجديدة حي المدارس,ạljdydẗ ḥy ạlmdạrs
الخيام جنوبي,ạlkẖyạm jnwby
الخيام شرقي,ạlkẖyạm sẖrqy
الخيام شمالي,ạlkẖyạm sẖmạly
الخيام غربي,ạlkẖyạm gẖrby
الدلافة,ạldlạfẗ
الفرديس,ạlfrdys
القليعه,ạlqlyʿh
الماري,ạlmạry
الهبارية,ạlhbạryẗ
الوزاني,ạlwzạny
برج الملوك,brj ạlmlwk
بويضة,bwyḍẗ
حاصبيا حي السراي,ḥạṣbyạ ḥy ạlsrạy
حاصبيا حي العين,ḥạṣbyạ ḥy ạlʿyn
حاصبيا حي الفوقاني,ḥạṣbyạ ḥy ạlfwqạny
حاصبيا حي صفيفة,ḥạṣbyạ ḥy ṣfyfẗ
رب ثلاثين,rb tẖlạtẖyn
سرده والعمره,srdh wạlʿmrh
شبعا شرقي,sẖbʿạ sẖrqy
شبعا غربي,sẖbʿạ gẖrby
طلوسه,ṭlwsh
عديسه,ʿdysh
قنطره,qnṭrh
كفرشوبا,kfrsẖwbạ
مرج الزهور,mrj ạlzhwr
ميس الجبل جنوبي,mys ạljbl jnwby
ميس الجبل شرقي,mys ạljbl sẖrqy
ميس الجبل شمالي,mys ạljbl sẖmạly
ميس الجبل غربي,mys ạljbl gẖrby
ادما والدفنه,ạdmạ wạldfnh
اغبه,ạgẖbh
السهيله,ạlshylh
العقيبه,ạlʿqybh
القليعات,ạlqlyʿạt
النموره وكفر جريف,ạlnmwrh wkfr jryf
بطحا,bṭḥạ
بقعاتة عشقوت,bqʿạtẗ ʿsẖqwt
بقعتوته,bqʿtwth
جورة الترمس,jwrẗ ạltrms
حارة صخر,ḥạrẗ ṣkẖr
حياطه,ḥyạṭh
زعيتره,zʿytrh
زوق مكايل,zwq mkạyl
ساحل علما,sạḥl ʿlmạ
شننعير,sẖnnʿyr
شوان والعبره,sẖwạn wạlʿbrh
عين الدلبه,ʿyn ạldlbh
غادير,gẖạdyr
غزير الجامع,gẖzyr ạljạmʿ
غزير القناة,gẖzyr ạlqnạẗ
غزير المعاملتين,gẖzyr ạlmʿạmltyn
كفردبيان,kfrdbyạn
كفرياسين,kfryạsyn
نهر الذهب,nhr ạldẖhb
هرهريا والقطين,hrhryạ wạlqṭyn
وطى الجوز,wṭy̱ ạljwz
صيدا حي الدكرمان,ṣydạ ḥy ạldkrmạn
صيدا حي الزويتيني,ṣydạ ḥy ạlzwytyny
صيدا حي السبيل,ṣydạ ḥy ạlsbyl
صيدا حي السراي,ṣydạ ḥy ạlsrạy
صيدا حي الشارع,ṣydạ ḥy ạlsẖạrʿ
صيدا حي القناية,ṣydạ ḥy ạlqnạyẗ
صيدا حي الكشك,ṣydạ ḥy ạlksẖk
صيدا حي الكنان,ṣydạ ḥy ạlknạn
صيدا حي المسالخية,ṣydạ ḥy ạlmsạlkẖyẗ
صيدا حي الوسطاني,ṣydạ ḥy ạlwsṭạny
صيدا حي رجال الاربعين,ṣydạ ḥy rjạl ạlạrbʿyn
صيدا حي مكسر العبد,ṣydạ ḥy mksr ạlʿbd
التبانة,ạltbạnẗ
الحدادين,ạlḥdạdyn
الحديد,ạlḥdyd
الرمانة,ạlrmạnẗ
الزاهرية,ạlzạhryẗ
السويقه,ạlswyqh
القبة,ạlqbẗ
المهاترة,ạlmhạtrẗ
الميناء,ạlmynạʾ
النوري,ạlnwry
وادي النحلة,wạdy ạlnḥlẗ
