,Village Name,English Name,District Name,Mohafaza
550,مزرعة القرين,,الضنية,الشمال
551,نمرين,,الضنية,الشمال
552,الرفيد,El-RafidE,قضاءي البقاع الغربي وراشيا,البقاع
553,اجد عبرين,,الكورة,الشمال
554,البحصاص,,الكورة,الشمال
555,الرمليه,El-Ramliyeh,عاليه,جبل لبنان
556,اميون شرقي,,الكورة,الشمال
557,اميون غربي,,الكورة,الشمال
558,بترومين,,الكورة,الشمال
559,بتعبوره,,الكورة,الشمال
560,الريحان,Al-Rihanié,جزين,الجنوب
561,حارة الخاصة,,الكورة,الشمال
562,دار بعشتار,,الكورة,الشمال
563,راس مسقا الجنوبية,,الكورة,الشمال
564,راس مسقا الشمالية,,الكورة,الشمال
565,زغرتا المتاولة,,الكورة,الشمال
566,ضهر العين,,الكورة,الشمال
567,ضهور الهوا,,الكورة,الشمال
568,فيع,,الكورة,الشمال
569,كفر صارون,,الكورة,الشمال
570,كفر قاهل,,الكورة,الشمال
571,الزغرين,El-Zeghrine,قضاءي بعلبك والهرمل,بعلبك والهرمل
572,الزغرين,El-Zeghrine,المتن,جبل لبنان
573,الزلقا,El-Zalka,المتن,جبل لبنان
574,كفرحاتا,,الكورة,الشمال
575,كفرعقا,,الكورة,الشمال
576,ابو ميزان,,المتن,جبل لبنان
577,البوشريه,,المتن,جبل لبنان
578,الجديدة,,المتن,جبل لبنان
579,السفري,Al-Sfiré,قضاءي بعلبك والهرمل,بعلبك والهرمل
580,الخنشاره,,المتن,جبل لبنان
581,السفيله,El-Sfailé,المتن,جبل لبنان
582,الدكوانه,,المتن,جبل لبنان
583,الدوار,,المتن,جبل لبنان
584,الرابية,,المتن,جبل لبنان
585,الشاويه والقنيطره,,المتن,جبل لبنان
586,الشوير,,المتن,جبل لبنان
587,الضبيه,,المتن,جبل لبنان
588,العيرون,,المتن,جبل لبنان
589,الغابه,,المتن,جبل لبنان
590,الفريكه,,المتن,جبل لبنان
591,القعقور,,المتن,جبل لبنان
592,المتين,,المتن,جبل لبنان
593,المحيدثة,,المتن,جبل لبنان
594,المسقى,,المتن,جبل لبنان
595,المشرع,,المتن,جبل لبنان
596,المكلس,,المتن,جبل لبنان
597,النقاش,Naccache,المتن,جبل لبنان
598,بحر صاف,,المتن,جبل لبنان
599,بسكنتا جنوبي,,المتن,جبل لبنان
600,بسكنتا شمالي,,المتن,جبل لبنان
601,بعبدات,,المتن,جبل لبنان
602,بيت الشعار,,المتن,جبل لبنان
603,بيت الككو,,المتن,جبل لبنان
604,بيت شباب تحتاني,,المتن,جبل لبنان
605,بيت شباب فوقاني,,المتن,جبل لبنان
606,جل الديب,Jal-el-Dib,المتن,جبل لبنان
607,جورة البلوط,,المتن,جبل لبنان
608,زوق الخراب ومار يوسف,,المتن,جبل لبنان
609,ساقية المسك,,المتن,جبل لبنان
610,سد البوشريه,,المتن,جبل لبنان
611,سن الفيل حي البلده,,المتن,جبل لبنان
612,سن الفيل حي الجديد,,المتن,جبل لبنان
613,سن الفيل حي الحرج,,المتن,جبل لبنان
614,سن الفيل حي جسر الباشا,,المتن,جبل لبنان
615,ضهر الصوان,,المتن,جبل لبنان
616,عمارة شلهوب,Wata Amaret Chalhoub,المتن,جبل لبنان
617,عوكر,,المتن,جبل لبنان
618,عين التفاحة,,المتن,جبل لبنان
619,الصفرا,EL-Safra,كسروان,جبل لبنان
620,الصوانه,El-Souané,جبيل,جبل لبنان
621,عين الخروبه,,المتن,جبل لبنان
622,الصويري,Al-Sawiré,قضاءي البقاع الغربي وراشيا,البقاع
623,عين السنديانه,,المتن,جبل لبنان
624,عين الصفصاف,,المتن,جبل لبنان
625,الطيبه,Al-Taïbé,قضاءي بعلبك والهرمل,بعلبك والهرمل
626,الطيبه,Al-Taïbé,قضاءي مرجعيون وحاصبيا,النبطية
627,الطيري,El-Taïri,بنت جبيل,النبطية
628,عين القبو ودير مار سمعان,,المتن,جبل لبنان
629,عين سعادة,Aïn-Saâdé,المتن,جبل لبنان
630,عين علق,,المتن,جبل لبنان
631,العباديه,El-Abadiyeh,بعبدا,جبل لبنان
632,العبده,Al-Abboudié,عكار,عكار
633,العذرا,El-Azra,كسروان,جبل لبنان
634,عينطوره,,المتن,جبل لبنان
635,قرنة الحمرا,Kornet-El-Hamra,المتن,جبل لبنان
636,كفرتيه,,المتن,جبل لبنان
637,العطشانه,El-Atchané,المتن,جبل لبنان
638,مار شعيا والمزكه,,المتن,جبل لبنان
639,مار موسى الدوار,,المتن,جبل لبنان
640,مزرعة بنابيل,,المتن,جبل لبنان
641,مزرعة يشوع,Mazraet Yachou,المتن,جبل لبنان
642,العلالي,El-Alaly,البترون,الشمال
643,مزهر ومجدوب,,المتن,جبل لبنان
644,الريحانية,,المنية,الشمال
645,المنية,,المنية,الشمال
646,النبي يوشع,,المنية,الشمال
647,برج اليهودية,,المنية,الشمال
648,العيون,ElAyoune,عكار,عكار
649,العيون,ElAyoune,المتن,جبل لبنان
650,الدوير,,النبطية,النبطية
651,الشرقية,,النبطية,النبطية
652,الغابون,El-Ghaboun,عاليه,جبل لبنان
653,النبطية التحتا حي البياض,,النبطية,النبطية
654,الغباطيه,El-Ghabbatieh,جزين,الجنوب
655,النبطية التحتا حي السراي,,النبطية,النبطية
656,النبطية التحتا حي المسيحيين,,النبطية,النبطية
657,الغينه,El-Ghuiné,كسروان,جبل لبنان
658,النبطية التحتا حي الميدان,,النبطية,النبطية
659,النبطية الفوقا,,النبطية,النبطية
660,النميريه,,النبطية,النبطية
661,انصار,,النبطية,النبطية
662,بريقع,,النبطية,النبطية
663,جباع,,النبطية,النبطية
664,جرجوع,,النبطية,النبطية
665,الفريديس,El-Fraïdice,الشوف,جبل لبنان
666,حومين الفوقا,,النبطية,النبطية
667,زوطر الشرقية,,النبطية,النبطية
668,زوطر الغربية,,النبطية,النبطية
669,سيني,,النبطية,النبطية
670,صير الغربية,,النبطية,النبطية
671,عين بوسوار,,النبطية,النبطية
672,عين قانا,,النبطية,النبطية
673,القبيات,El-Koubayet,عكار,عكار
674,قعقعية الجسر,,النبطية,النبطية
675,كفرصير,,النبطية,النبطية
676,كفروة,,النبطية,النبطية
677,المغر وبلا,,بشري,الشمال
678,بزعون,,بشري,الشمال
679,بشري حي السيدة,,بشري,الشمال
680,بشري حي المقدمين,,بشري,الشمال
681,القرعون,El-Karaoun,قضاءي البقاع الغربي وراشيا,البقاع
682,القرقف,El-Karkaf,عكار,عكار
683,بشري حي مار سابا,,بشري,الشمال
684,القريات,El-Krayat,عكار,عكار
685,بشري حي مار يوحنا,,بشري,الشمال
686,بقاعكفرا,,بشري,الشمال
687,القريه,El-Krayé,بعبدا,جبل لبنان
688,حدث الجبه,,بشري,الشمال
689,القصيبه,El-Ksaibeh,النبطية,النبطية
690,القصيبه,El-Ksaibeh,بعبدا,جبل لبنان
691,القصير,El-Kousseir,قضاءي مرجعيون وحاصبيا,النبطية
692,مزرعة بني صعب,,بشري,الشمال
693,وادي قنوبين,,بشري,الشمال
694,الحدث شمالي,,بعبدا,جبل لبنان
695,الحدث قبلي,,بعبدا,جبل لبنان
696,القلمون,Al-Kalmoune,مدينة طرابلس,الشمال
697,الشبانيه,,بعبدا,جبل لبنان
698,الشياح بئر العبد,,بعبدا,جبل لبنان
699,الشياح حي الكنيسة,,بعبدا,جبل لبنان
700,الشياح حي كرم الزيتون,,بعبدا,جبل لبنان
701,العربانية,,بعبدا,جبل لبنان
702,الغبيري بئر حسن,,بعبدا,جبل لبنان
703,الغبيري حي الجامع,,بعبدا,جبل لبنان
704,الفياضية,Deir Takla,بعبدا,جبل لبنان
705,القلعه,,بعبدا,جبل لبنان
706,الليلكه,,بعبدا,جبل لبنان
707,الكفور,El-Kfour,النبطية,النبطية
708,الكفور,El-Kfour,كسروان,جبل لبنان
709,الكفير,El-Kfeir,قضاءي مرجعيون وحاصبيا,النبطية
710,المرداشة,,بعبدا,جبل لبنان
711,المريجه,,بعبدا,جبل لبنان
712,الكنيسه,Al-Kneissé,قضاءي بعلبك والهرمل,بعلبك والهرمل
713,الكنيسه,Al-Kneissé,صور,الجنوب
714,الكنيسه,Al-Kneissé,بعبدا,جبل لبنان
715,الهلالية,,بعبدا,جبل لبنان
716,بتخنيه,,بعبدا,جبل لبنان
717,اللبوة,Al-Labouat,قضاءي بعلبك والهرمل,بعلبك والهرمل
718,اللقلوق,El-Laklouk,جبيل,جبل لبنان
719,برج البراجنة حي السنديان,,بعبدا,جبل لبنان
720,اللويزه,El-Louaizé,جزين,الجنوب
721,اللويزه,El-Louaizé,بعبدا,جبل لبنان
722,برج البراجنة حي السياد,,بعبدا,جبل لبنان
723,برج البراجنة حي المنشية,,بعبدا,جبل لبنان
724,بطشيه,,بعبدا,جبل لبنان
725,بعلشميه,,بعبدا,جبل لبنان
726,المجدل,El-Mejdel,الكورة,الشمال
727,المجدل,El-Mejdel,عكار,عكار
728,المجدل,El-Mejdel,جبيل,جبل لبنان
729,المجيديه,El-Majidiyé,قضاءي مرجعيون وحاصبيا,النبطية
730,المحاربيه,El-Mharbiyé,جزين,الجنوب
731,تحويطة الغدير,,بعبدا,جبل لبنان
732,المحمرة,Al-Mehamra,عكار,عكار
733,تحويطة النهر,,بعبدا,جبل لبنان
734,المختارة,El-Moukhtara,الشوف,جبل لبنان
735,جوار الحوز,,بعبدا,جبل لبنان
736,المراديه,El-Mradiyeh,كسروان,جبل لبنان
737,المرج,Al-Marje,قضاءي البقاع الغربي وراشيا,البقاع
738,حارة البطم,,بعبدا,جبل لبنان
739,حارة حريك حي الرويس,,بعبدا,جبل لبنان
740,حارة حريك حي الكنيسة,,بعبدا,جبل لبنان
741,المروج,El-Mrouge,المتن,جبل لبنان
742,المريجات,El-Mreijate,عاليه,جبل لبنان
743,حارة حريك قرانوح,,بعبدا,جبل لبنان
744,حاصبيا المتن,,بعبدا,جبل لبنان
745,المزرعة,Al-Mazraa,بيروت الثانية,بيروت
746,دير مار الياس الكحلونية,,بعبدا,جبل لبنان
747,راس الحرف,,بعبدا,جبل لبنان
748,راس المتن,,بعبدا,جبل لبنان
749,المشرف,El-Mouchref,الشوف,جبل لبنان
750,المشرفه,El-Mechrefeh,عاليه,جبل لبنان
751,رويسة البلوط,,بعبدا,جبل لبنان
752,زندوقه,,بعبدا,جبل لبنان
753,سبنيه,,بعبدا,جبل لبنان
754,المطيلب,El-Mtaileb,المتن,جبل لبنان
755,عين الرمانة,El-Remmané,بعبدا,جبل لبنان
756,قبيع,,بعبدا,جبل لبنان
757,المعنيه,El-Maaniyeh,الشوف,جبل لبنان
758,المعيصرة,El-Mouaïsra,قضاءي بعلبك والهرمل,بعلبك والهرمل
759,المعيصرة,El-Mouaïsra,كسروان,جبل لبنان
760,كفرسلوان,,بعبدا,جبل لبنان
761,المغيره,El-Mghaïré,جبيل,جبل لبنان
762,وادي شحرور السفلى,,بعبدا,جبل لبنان
763,وادي شحرور العليا,,بعبدا,جبل لبنان
764,السلطانيه,,بنت جبيل,النبطية
765,بنت جبيل حي البركه,,بنت جبيل,النبطية
766,المكنونيه,El-Maknouniyé,جزين,الجنوب
767,بنت جبيل حي الجامع,,بنت جبيل,النبطية
768,بنت جبيل حي الحسينية,,بنت جبيل,النبطية
769,بنت جبيل حي الحواره,,بنت جبيل,النبطية
770,المنصوري,El-Mansouri,صور,الجنوب
771,المنصوريه,El-Mansouriyeh,المتن,جبل لبنان
772,المنصوريه,El-Mansouriyeh,عاليه,جبل لبنان
773,بنت جبيل حي عين الصغيرة,,بنت جبيل,النبطية
774,تبنين حي التحتاني,,بنت جبيل,النبطية
775,تبنين حي الفوقاني,,بنت جبيل,النبطية
776,المياسه,El-Mayassé,المتن,جبل لبنان
777,تبنين حي الكاثوليك,,بنت جبيل,النبطية
778,الميدان,El-Midan,جزين,الجنوب
779,تبنين حي آل بري,,بنت جبيل,النبطية
780,حاريص,,بنت جبيل,النبطية
781,حداثا,,بنت جبيل,النبطية
782,دير انطار,,بنت جبيل,النبطية
783,صفد البطيخ,,بنت جبيل,النبطية
784,عيتا الجبل,,بنت جبيل,النبطية
785,عيتا الشعب,,بنت جبيل,النبطية
786,عين ابل حي الدير,,بنت جبيل,النبطية
787,عين ابل حي العين,,بنت جبيل,النبطية
788,عين ابل حي الكنيسة,,بنت جبيل,النبطية
789,غندورية,,بنت جبيل,النبطية
790,قوزح,,بنت جبيل,النبطية
791,كفره,,بنت جبيل,النبطية
792,مارون الراس,,بنت جبيل,النبطية
793,الاشرفية,Achrafieh,بيروت الأولى,بيروت
794,الرميل,Remeil,بيروت الأولى,بيروت
795,الصيفي,,بيروت الأولى,بيروت
796,المدور,,بيروت الأولى,بيروت
797,النبي عثمان,Al-Nabi Osman,قضاءي بعلبك والهرمل,بعلبك والهرمل
798,الباشورة,Bachoura,بيروت الثانية,بيروت
799,المرفأ,,بيروت الثانية,بيروت
800,المصيطبة,,بيروت الثانية,بيروت
801,النخله,En-Nakhlé,الكورة,الشمال
802,دار المريسة,,بيروت الثانية,بيروت
803,رأس بيروت,Ras Beyrouth,بيروت الثانية,بيروت
804,ميناء الحصن,Minet el-Hosn,بيروت الثانية,بيروت
805,ادونيس,,جبيل,جبل لبنان
806,افقا,,جبيل,جبل لبنان
807,البرباره,,جبيل,جبل لبنان
808,الجليسه,,جبيل,جبل لبنان
809,الريحانة,,جبيل,جبل لبنان
810,العاقورة - أ,,جبيل,جبل لبنان
811,الهد,El-Hed,عكار,عكار
812,العاقورة - م,,جبيل,جبل لبنان
813,الغابات,,جبيل,جبل لبنان
814,الفيدار,,جبيل,جبل لبنان
815,الهري,Al-Hery,البترون,الشمال
816,الكفر,,جبيل,جبل لبنان
817,المزاريب,,جبيل,جبل لبنان
818,المنصف,,جبيل,جبل لبنان
819,بخعاز,,جبيل,جبل لبنان
820,بزيون,,جبيل,جبل لبنان
821,بشتليدا,,جبيل,جبل لبنان
822,الوقف,Al-Wakf,زحلة,البقاع
823,بنتاعل,,جبيل,جبل لبنان
824,جنه ومار سركيس,,جبيل,جبل لبنان
825,حصارات,,جبيل,جبل لبنان
826,دملصا,,جبيل,جبل لبنان
827,دير القطاره,,جبيل,جبل لبنان
828,راس اسطا,,جبيل,جبل لبنان
829,ساقية الخيط,,جبيل,جبل لبنان
830,سرعيتا,,جبيل,جبل لبنان
831,سقي رشميا,,جبيل,جبل لبنان
832,علمات الجنوبية,,جبيل,جبل لبنان
833,علمات الشمالية,,جبيل,جبل لبنان
834,بتدين اللقش,Bteddine El-Lekche,جزين,الجنوب
835,عنايا وكفربعال,,جبيل,جبل لبنان
836,عين الدلبة,,جبيل,جبل لبنان
837,عين الشلال,,جبيل,جبل لبنان
838,عين الغويبة,,جبيل,جبل لبنان
839,عين جرين,,جبيل,جبل لبنان
840,عين كفاع,,جبيل,جبل لبنان
841,فتري,,جبيل,جبل لبنان
842,قرطبا الجنوبية,,جبيل,جبل لبنان
843,قرطبا الشمالية,,جبيل,جبل لبنان
844,كفر كده,,جبيل,جبل لبنان
845,كفر مسحون,,جبيل,جبل لبنان
846,مزرعة السياد,,جبيل,جبل لبنان
847,نهر ابراهيم,,جبيل,جبل لبنان
848,الحسانيه,,جزين,الجنوب
849,الحمصية,,جزين,الجنوب
850,السريره,,جزين,الجنوب
851,العيشية,,جزين,الجنوب
852,برج الشمالي,Borge El-Chémali,صور,الجنوب
853,القطراني,,جزين,الجنوب
854,بحنين - كفرتعلا,,جزين,الجنوب
855,حيتوله - وادي الليمون,,جزين,الجنوب
856,برج حمود,Borge Hammoud,المتن,جبل لبنان
857,برج رحال,Bordje Rahhal,صور,الجنوب
858,برج قلاويه,Borge Kalaouiyé,بنت جبيل,النبطية
859,حيطوره,,جزين,الجنوب
860,ريمات وشقاديف,,جزين,الجنوب
861,زحلته,,جزين,الجنوب
862,صفارية,,جزين,الجنوب
863,عين مجدلين,,جزين,الجنوب
864,قتالة,,جزين,الجنوب
865,قطين وحيداب,,جزين,الجنوب
866,كفر جره,,جزين,الجنوب
867,لبعه,,جزين,الجنوب
868,مراح الحباس,,جزين,الجنوب
869,مزرعة المطحنة,Mazraat el-Mathané,جزين,الجنوب
870,الفرزل التحتا,,زحلة,البقاع
871,الفرزل الفوقا,,زحلة,البقاع
872,الكرمة,,زحلة,البقاع
873,بتياس,,زحلة,البقاع
874,بر الياس,Bar-Elias,زحلة,البقاع
875,تعلبايا,,زحلة,البقاع
876,تعنايل,,زحلة,البقاع
877,تل الاخضر,,زحلة,البقاع
878,تويته,,زحلة,البقاع
879,جديتا,,زحلة,البقاع
880,جلالا,,زحلة,البقاع
881,حاجي حببلي,,زحلة,البقاع
882,حوش الغنم,,زحلة,البقاع
883,حي السلم,,زحلة,البقاع
884,بطلون,Batloune,عاليه,جبل لبنان
885,حي الفيكاني,,زحلة,البقاع
886,خضر بك,,زحلة,البقاع
887,دير الغزال,,زحلة,البقاع
888,زحلة البرباره,,زحلة,البقاع
889,زحلة الراسيه التحتا,,زحلة,البقاع
890,زحلة الراسيه الفوقا,,زحلة,البقاع
891,بقاع صفرين,Bkaa Safrine,الضنية,الشمال
892,زحلة المعلقه,,زحلة,البقاع
893,زحلة المعلقه الشمالي,,زحلة,البقاع
894,زحلة الميدان الشرقي,,زحلة,البقاع
895,زحلة الميدان الغربي,,زحلة,البقاع
896,زحلة حوش الامراء,,زحلة,البقاع
897,بقعاتة كنعان,Bekaatet Kénaan,كسروان,جبل لبنان
898,زحلة حوش الزراعنه,,زحلة,البقاع
899,زحلة حي السيدة,,زحلة,البقاع
900,زحلة سيدة النجاة,,زحلة,البقاع
901,زحلة كرك نوح,,زحلة,البقاع
902,زحلة مار الياس,,زحلة,البقاع
903,زحلة مار انطونيوس,,زحلة,البقاع
904,زحلة مار مخايل,,زحلة,البقاع
905,زحلة وادي العرايش,,زحلة,البقاع
906,سعدنايل,,زحلة,البقاع
907,بني حيان,Bani Haiyane,قضاءي مرجعيون وحاصبيا,النبطية
908,شتوره,,زحلة,البقاع
909,شهابية الفاعور,,زحلة,البقاع
910,علي النهري,,زحلة,البقاع
911,عين كفرزبد,,زحلة,البقاع
912,قاع الريم,,زحلة,البقاع
913,قب الياس التحتا,,زحلة,البقاع
914,بيت الدين,Beit Eddine,الشوف,جبل لبنان
915,قب الياس الفوقا,,زحلة,البقاع
916,قوسايا,,زحلة,البقاع
917,كابوسية,,زحلة,البقاع
918,كفرزبد,,زحلة,البقاع
919,بيت حاويك,Beit Haouik,الضنية,الشمال
920,بيت حباق,Beit Habbak,جبيل,جبل لبنان
921,بيت شاما,Bait Chama,قضاءي بعلبك والهرمل,بعلبك والهرمل
922,مجدل عنجر,,زحلة,البقاع
923,ناصريه,,زحلة,البقاع
924,نبي ايلا,,زحلة,البقاع
925,وادي الدلم,,زحلة,البقاع
926,يوغون اولوك,,زحلة,البقاع
927,اجبع,,زغرتا,الشمال
928,بيت لهيا,Beit Lahia,قضاءي البقاع الغربي وراشيا,البقاع
929,بيت ليف,Beit Lif,بنت جبيل,النبطية
930,بيت مري,Beit Mery,المتن,جبل لبنان
931,اسلوت,,زغرتا,الشمال
932,بيت ملات,Beit Mallat,عكار,عكار
933,بيت منذر,Beit Menzer,بشري,الشمال
934,بيت ياحون,Beit Yahoune,بنت جبيل,النبطية
935,بيت يونس,Beit Younes,عكار,عكار
936,البحيرة,,زغرتا,الشمال
937,القادريه,,زغرتا,الشمال
938,ايعال,,زغرتا,الشمال
939,بسلوقيط,,زغرتا,الشمال
940,بنشعي,,زغرتا,الشمال
941,تحوم,Tehoum,البترون,الشمال
942,بيت عبيد,,زغرتا,الشمال
943,بيت عوكر,,زغرتا,الشمال
944,تربل,Terbol,زحلة,البقاع
945,تربل,Terbol,المنية,الشمال
946,ترتج,Tartige,جبيل,جبل لبنان
947,ترشيش,Tarchiche,بعبدا,جبل لبنان
948,حارة الفوار,,زغرتا,الشمال
949,حرف ارده,,زغرتا,الشمال
950,تعيد,Taïd,جزين,الجنوب
951,تفاحتا,Teffehta,قرى صيدا,الجنوب
952,تكريت,Tikrite,عكار,عكار
953,حرف مزيارة,,زغرتا,الشمال
954,تل ذنوب,Tal Zenoub,قضاءي البقاع الغربي وراشيا,البقاع
955,حريقص,,زغرتا,الشمال
956,حيلان,,زغرتا,الشمال
957,رشعين,,زغرتا,الشمال
958,زغرتا حي السيدة الشرقي,,زغرتا,الشمال
959,زغرتا حي السيدة الغربي,,زغرتا,الشمال
960,زغرتا حي الصليب الجنوبي,,زغرتا,الشمال
961,زغرتا حي الصليب الشمالي,,زغرتا,الشمال
962,تمنين التحتا,Tamnine El-Tahta,قضاءي بعلبك والهرمل,بعلبك والهرمل
963,زغرتا حي المعاصر,,زغرتا,الشمال
964,سبعل,,زغرتا,الشمال
965,سرعل,,زغرتا,الشمال
966,عربة قزحيا,,زغرتا,الشمال
967,تول,Toule,النبطية,النبطية
968,تولا,Toula,البترون,الشمال
969,تولا,Toula,زغرتا,الشمال
970,تولين,Touline,قضاءي مرجعيون وحاصبيا,النبطية
971,عشاش,,زغرتا,الشمال
972,جب جنين,Jib Jénine,قضاءي البقاع الغربي وراشيا,البقاع
973,قره باش,,زغرتا,الشمال
974,كفر دلاقوس,,زغرتا,الشمال
975,كفر شخنا,,زغرتا,الشمال
976,كفر صغاب,,زغرتا,الشمال
977,كفر ياشيت,,زغرتا,الشمال
978,كفرحاتا,,زغرتا,الشمال
979,مرياطه,,زغرتا,الشمال
980,مزرعة التفاح,,زغرتا,الشمال
981,مزرعة الفريديس,,زغرتا,الشمال
982,مزرعة حوقا,,زغرتا,الشمال
983,جديدة غزير,Jdeidet Ghazir,كسروان,جبل لبنان
984,البازوريه,,صور,الجنوب
985,البرغليه,,صور,الجنوب
986,البساتين,,صور,الجنوب
987,البستان,,صور,الجنوب
988,البص  قسم 1,,صور,الجنوب
989,البص  قسم 3,,صور,الجنوب
990,البص قسم 5,,صور,الجنوب
991,الجبين,,صور,الجنوب
992,الحلوسية,,صور,الجنوب
993,الحميري,,صور,الجنوب
994,جورة ارصون,Jouret Arsoune,بعبدا,جبل لبنان
995,الحنية,El-Henniyé,صور,الجنوب
996,الرشيديه,,صور,الجنوب
997,جورة بدران,Jouret Bedrane,كسروان,جبل لبنان
998,الرماديه,,صور,الجنوب
999,الزلوطية,,صور,الجنوب
1000,السماعية,,صور,الجنوب
1001,حارة الست,Haret -el-Sit,بعبدا,جبل لبنان
1002,الشعيتية,,صور,الجنوب
1003,الشهابية,,صور,الجنوب
1004,الظهيرة,,صور,الجنوب
1005,حارة جندل,Haret Jandal,الشوف,جبل لبنان
1006,المالكية,,صور,الجنوب
1007,الناقورة,,صور,الجنوب
1008,باريش,,صور,الجنوب
1009,حارة حمزه,Haret Hamzé,بعبدا,جبل لبنان
1010,بثتيات,,صور,الجنوب
1011,جبال البطم,,صور,الجنوب
1012,جناته,,صور,الجنوب
1013,حناويه,,صور,الجنوب
1014,دبعال,Debaael,صور,الجنوب
1015,دير قانون راس العين,,صور,الجنوب
1016,سلعا,,صور,الجنوب
1017,شبريحا,,صور,الجنوب
1018,شمع,,صور,الجنوب
1019,صور,Sour (Tyr),صور,الجنوب
1020,صور حي الارثوذكس,,صور,الجنوب
1021,صور حي الجامع,,صور,الجنوب
1022,صور حي الجورة,,صور,الجنوب
1023,صور حي الحسينية,,صور,الجنوب
1024,صور حي الكاثوليك,,صور,الجنوب
1025,صور حي المصاروي,,صور,الجنوب
1026,صور حي المنارة,,صور,الجنوب
1027,صور حي الموارنة,,صور,الجنوب
1028,طير حرفا,,صور,الجنوب
1029,طير دبا,,صور,الجنوب
1030,طير فلسيه,,صور,الجنوب
1031,علما الشعب,Alma Chaab,صور,الجنوب
1032,عين ابو عبدالله,,صور,الجنوب
1033,عين الزرقا,,صور,الجنوب
1034,قليله,,صور,الجنوب
1035,محرونه,,صور,الجنوب
1036,معركه,,صور,الجنوب
1037,معروب,,صور,الجنوب
1038,نفاخيه,,صور,الجنوب
1039,حوش بردى,Haouche Barada,قضاءي بعلبك والهرمل,بعلبك والهرمل
1040,وادي جيلو,,صور,الجنوب
1041,حوش حالا,Haouche Hala,زحلة,البقاع
1042,البساتين,,عاليه,جبل لبنان
1043,التعزانية,,عاليه,جبل لبنان
1044,حومين التحتا,Houmine El-Tahta,النبطية,النبطية
1045,الرجمة,,عاليه,جبل لبنان
1046,الشويفات حي الامراء,,عاليه,جبل لبنان
1047,الشويفات حي العمروسية,,عاليه,جبل لبنان
1048,الشويفات حي القبة,,عاليه,جبل لبنان
1049,العزونية,EL-Azouniyeh,عاليه,جبل لبنان
1050,القماطية,,عاليه,جبل لبنان
1051,الكحالة,,عاليه,جبل لبنان
1052,بحمدون,Bhamdoun (Village),عاليه,جبل لبنان
1053,بحواره,,عاليه,جبل لبنان
1054,بخشتيه,Bkhichtay,عاليه,جبل لبنان
1055,بعورته,,عاليه,جبل لبنان
1056,بمهريه,,عاليه,جبل لبنان
1057,بوزريده,,عاليه,جبل لبنان
1058,خربة بسري,Kherbet Bisri,الشوف,جبل لبنان
1059,جسر القاضي,,عاليه,جبل لبنان
1060,خربة روحا,Kherbet Rouha,قضاءي البقاع الغربي وراشيا,البقاع
1061,خربة سلم,Kherbet Salem,بنت جبيل,النبطية
1062,خربة شار,Kherbet Char,عكار,عكار
1063,خربة قنافار,Kherbet Kanafar,قضاءي البقاع الغربي وراشيا,البقاع
1064,دير قوبل,,عاليه,جبل لبنان
1065,سوق الغرب,Souk-El-Gharb,عاليه,جبل لبنان
1066,شانيه,,عاليه,جبل لبنان
1067,صوفر,,عاليه,جبل لبنان
1068,عاليه شمالي,,عاليه,جبل لبنان
1069,عاليه غربي,,عاليه,جبل لبنان
1070,دار شمزين,Dar Chmezzine,الكورة,الشمال
1071,عاليه قبلي,,عاليه,جبل لبنان
1072,عاليه وسطاني,,عاليه,جبل لبنان
1073,عبيه,Abey,عاليه,جبل لبنان
1074,عين الجديدة,,عاليه,جبل لبنان
1075,عين الرمانة,El-Remmané,عاليه,جبل لبنان
1076,عين السيدة,,عاليه,جبل لبنان
1077,عين الفريديس,,عاليه,جبل لبنان
1078,دوير الرمان,Douair El-Roummane,عاليه,جبل لبنان
1079,دوير عدويه,Douair Adouiyé,عكار,عكار
1080,دير الاحمر,Dair El-Ahmar,قضاءي بعلبك والهرمل,بعلبك والهرمل
1081,دير الحرف,Deir El-Harf,بعبدا,جبل لبنان
1082,دير الزهراني,Deir El-Zehrani,النبطية,النبطية
1083,عين المرج,,عاليه,جبل لبنان
1084,عين داره,,عاليه,جبل لبنان
1085,عين عنوب,,عاليه,جبل لبنان
1086,دير القمر,Deir El-Kamar,الشوف,جبل لبنان
1087,كفر عميه,,عاليه,جبل لبنان
1088,دير بابا,Deir Baba,الشوف,جبل لبنان
1089,كفرمتى,,عاليه,جبل لبنان
1090,محطة بحمدون,,عاليه,جبل لبنان
1091,دير خونا,Deir Khouna,بعبدا,جبل لبنان
1092,البساتين,,عكار,عكار
1093,البقيعة,,عكار,عكار
1094,دير سريان,Deir Sériane,قضاءي مرجعيون وحاصبيا,النبطية
1095,دير شمرا,Deir Chamra,المتن,جبل لبنان
1096,دير عامص,Deir Amess,صور,الجنوب
1097,دير عمار,Deir Omar,المنية,الشمال
1098,دير قانون النهر,Deir Kanoun El-Nahr,صور,الجنوب
1099,الحميره,,عكار,عكار
1100,الحويش,,عكار,عكار
1101,دير كوشه,Deir Couché,الشوف,جبل لبنان
1102,دير كيفا,Deir Kifa,صور,الجنوب
1103,الحيصه,,عكار,عكار
1104,دير ميماس,Deir Mimas,قضاءي مرجعيون وحاصبيا,النبطية
1105,دير نبوح,Deir Nebouh,الضنية,الشمال
1106,ديك المحدي,Dik El-Mehdi,المتن,جبل لبنان
1107,الدبابيه,,عكار,عكار
1108,الدوره,,عكار,عكار
